,Date,Issue_Reported,Number_of_Incidents
144,1/21/2018,COLLISION WITH INJURY,4
145,1/21/2018,COLLISN/ LVNG SCN,3
146,1/21/2018,zSTALLED VEHICLE,3
147,1/22/2018,Traffic Hazard,71
148,1/22/2018,Crash Urgent,60
149,1/22/2018,Crash Service,38
150,1/22/2018,TRFC HAZD/ DEBRIS,12
151,1/22/2018,Traffic Impediment,12
152,1/22/2018,COLLISION,9
153,1/22/2018,COLLISION WITH INJURY,5
154,1/22/2018,zSTALLED VEHICLE,5
155,1/22/2018,COLLISN/ LVNG SCN,3
156,1/22/2018,LOOSE LIVESTOCK,2
157,1/22/2018,VEHICLE FIRE,1
158,1/23/2018,Traffic Hazard,66
159,1/23/2018,Crash Service,28
160,1/23/2018,Crash Urgent,28
161,1/23/2018,Traffic Impediment,16
162,1/23/2018,zSTALLED VEHICLE,15
163,1/23/2018,COLLISION,13
164,1/23/2018,TRFC HAZD/ DEBRIS,9
165,1/23/2018,LOOSE LIVESTOCK,7
166,1/23/2018,COLLISION WITH INJURY,4
167,1/23/2018,COLLISN/ LVNG SCN,2
168,1/23/2018,COLLISION/PRIVATE PROPERTY,1
169,1/24/2018,Traffic Hazard,52
170,1/24/2018,Crash Urgent,43
171,1/24/2018,Crash Service,20
172,1/24/2018,COLLISION,14
173,1/24/2018,TRFC HAZD/ DEBRIS,13
174,1/24/2018,Traffic Impediment,10
175,1/24/2018,zSTALLED VEHICLE,9
176,1/24/2018,LOOSE LIVESTOCK,6
177,1/24/2018,COLLISION WITH INJURY,4
178,1/24/2018,COLLISN/ LVNG SCN,3
179,1/24/2018,VEHICLE FIRE,1
180,1/25/2018,Traffic Hazard,63
181,1/25/2018,Crash Urgent,39
182,1/25/2018,Crash Service,34
183,1/25/2018,TRFC HAZD/ DEBRIS,14
184,1/25/2018,zSTALLED VEHICLE,12
185,1/25/2018,COLLISION,9
186,1/25/2018,Traffic Impediment,9
187,1/25/2018,COLLISION WITH INJURY,5
188,1/25/2018,LOOSE LIVESTOCK,3
189,1/25/2018,COLLISN/ LVNG SCN,1
190,1/26/2018,Traffic Hazard,66
191,1/26/2018,Crash Urgent,41
192,1/26/2018,Crash Service,35
193,1/26/2018,Traffic Impediment,16
194,1/26/2018,COLLISION,13
195,1/26/2018,TRFC HAZD/ DEBRIS,13
196,1/26/2018,zSTALLED VEHICLE,9
197,1/26/2018,COLLISION WITH INJURY,7
198,1/26/2018,LOOSE LIVESTOCK,3
199,1/26/2018,COLLISN/ LVNG SCN,1
200,1/27/2018,Traffic Hazard,53
201,1/27/2018,Crash Urgent,51
202,1/27/2018,Crash Service,37
203,1/27/2018,TRFC HAZD/ DEBRIS,15
204,1/27/2018,COLLISION,8
205,1/27/2018,Traffic Impediment,8
206,1/27/2018,zSTALLED VEHICLE,8
207,1/27/2018,COLLISION WITH INJURY,7
208,1/27/2018,LOOSE LIVESTOCK,3
209,1/27/2018,AUTO/ PED,1
210,1/27/2018,COLLISN/ LVNG SCN,1
211,1/28/2018,Traffic Hazard,56
212,1/28/2018,Crash Urgent,28
213,1/28/2018,Crash Service,17
214,1/28/2018,Traffic Impediment,11
215,1/28/2018,COLLISION,10
216,1/28/2018,TRFC HAZD/ DEBRIS,7
217,1/28/2018,COLLISN/ LVNG SCN,5
218,1/28/2018,zSTALLED VEHICLE,3
219,1/28/2018,COLLISION WITH INJURY,2
220,1/28/2018,LOOSE LIVESTOCK,2
221,1/28/2018,COLLISN / FTSRA,1
222,1/28/2018,VEHICLE FIRE,1
223,1/29/2018,Traffic Hazard,68
224,1/29/2018,Crash Urgent,40
225,1/29/2018,Crash Service,25
226,1/29/2018,COLLISION,14
227,1/29/2018,TRFC HAZD/ DEBRIS,11
228,1/29/2018,zSTALLED VEHICLE,11
229,1/29/2018,Traffic Impediment,7
230,1/29/2018,COLLISION WITH INJURY,4
231,1/29/2018,COLLISN/ LVNG SCN,3
232,1/29/2018,VEHICLE FIRE,1
233,1/3/2018,Traffic Hazard,81
234,1/3/2018,Crash Urgent,43
235,1/3/2018,Crash Service,28
236,1/3/2018,Traffic Impediment,11
237,1/3/2018,COLLISION,10
238,1/3/2018,zSTALLED VEHICLE,9
239,1/3/2018,TRFC HAZD/ DEBRIS,8
240,1/3/2018,COLLISION WITH INJURY,4
241,1/3/2018,LOOSE LIVESTOCK,3
242,1/3/2018,COLLISION/PRIVATE PROPERTY,2
243,1/3/2018,ICY ROADWAY,2
244,1/3/2018,COLLISN/ LVNG SCN,1
245,1/30/2018,Traffic Hazard,46
246,1/30/2018,Crash Urgent,43
247,1/30/2018,Crash Service,20
248,1/30/2018,COLLISION,17
249,1/30/2018,zSTALLED VEHICLE,15
250,1/30/2018,Traffic Impediment,12
251,1/30/2018,TRFC HAZD/ DEBRIS,7
252,1/30/2018,COLLISION WITH INJURY,6
253,1/30/2018,LOOSE LIVESTOCK,4
254,1/30/2018,COLLISN/ LVNG SCN,1
255,1/31/2018,Traffic Hazard,53
256,1/31/2018,Crash Urgent,37
257,1/31/2018,Crash Service,35
258,1/31/2018,Traffic Impediment,18
259,1/31/2018,TRFC HAZD/ DEBRIS,11
260,1/31/2018,COLLISION,8
261,1/31/2018,zSTALLED VEHICLE,7
262,1/31/2018,COLLISN/ LVNG SCN,6
263,1/31/2018,COLLISION WITH INJURY,5
264,1/31/2018,LOOSE LIVESTOCK,2
265,1/31/2018,COLLISION/PRIVATE PROPERTY,1
266,1/4/2018,Traffic Hazard,56
267,1/4/2018,Crash Urgent,50
268,1/4/2018,Crash Service,22
269,1/4/2018,Traffic Impediment,13
270,1/4/2018,COLLISION,11
271,1/4/2018,TRFC HAZD/ DEBRIS,9
272,1/4/2018,zSTALLED VEHICLE,8
273,1/4/2018,COLLISN/ LVNG SCN,4
274,1/4/2018,COLLISION WITH INJURY,3
275,1/4/2018,COLLISION/PRIVATE PROPERTY,2
276,1/5/2018,Traffic Hazard,77
277,1/5/2018,Crash Urgent,47
278,1/5/2018,Crash Service,20
279,1/5/2018,Traffic Impediment,20
280,1/5/2018,COLLISION,13
281,1/5/2018,zSTALLED VEHICLE,11
282,1/5/2018,COLLISION WITH INJURY,9
283,1/5/2018,TRFC HAZD/ DEBRIS,8
284,1/5/2018,LOOSE LIVESTOCK,2
285,1/5/2018,COLLISION/PRIVATE PROPERTY,1
286,1/5/2018,COLLISN/ LVNG SCN,1
287,1/6/2018,Traffic Hazard,39
288,1/6/2018,Crash Urgent,35
289,1/6/2018,Crash Service,23
290,1/6/2018,TRFC HAZD/ DEBRIS,12
291,1/6/2018,COLLISION,11
292,1/6/2018,Traffic Impediment,11
293,1/6/2018,zSTALLED VEHICLE,5
294,1/6/2018,COLLISION WITH INJURY,2
295,1/6/2018,COLLISN/ LVNG SCN,2
296,1/6/2018,VEHICLE FIRE,1
297,1/7/2018,Traffic Hazard,37
298,1/7/2018,Crash Urgent,27
299,1/7/2018,Crash Service,18
300,1/7/2018,Traffic Impediment,11
301,1/7/2018,TRFC HAZD/ DEBRIS,6
302,1/7/2018,COLLISN/ LVNG SCN,4
303,1/7/2018,zSTALLED VEHICLE,4
304,1/7/2018,COLLISION,3
305,1/7/2018,COLLISION WITH INJURY,3
306,1/7/2018,LOOSE LIVESTOCK,2
307,1/7/2018,COLLISION/PRIVATE PROPERTY,1
308,1/8/2018,Traffic Hazard,57
309,1/8/2018,Crash Urgent,47
310,1/8/2018,Crash Service,34
311,1/8/2018,COLLISION,13
312,1/8/2018,TRFC HAZD/ DEBRIS,11
313,1/8/2018,Traffic Impediment,10
314,1/8/2018,zSTALLED VEHICLE,8
315,1/8/2018,COLLISION WITH INJURY,3
316,1/8/2018,LOOSE LIVESTOCK,3
317,1/8/2018,COLLISN/ LVNG SCN,2
318,1/9/2018,Traffic Hazard,52
319,1/9/2018,Crash Urgent,46
320,1/9/2018,Crash Service,37
