,Date,Hour,Number_of_Incidents
1063,10/25/2017,18,18
1064,10/25/2017,19,14
1065,10/25/2017,20,7
1066,10/25/2017,21,8
1067,10/25/2017,22,4
1068,10/25/2017,23,4
1069,10/26/2017,0,2
1070,10/26/2017,1,3
1071,10/26/2017,2,1
1072,10/26/2017,4,2
1073,10/26/2017,5,3
1074,10/26/2017,6,10
1075,10/26/2017,7,26
1076,10/26/2017,8,19
1077,10/26/2017,9,13
1078,10/26/2017,10,13
1079,10/26/2017,11,9
1080,10/26/2017,12,23
1081,10/26/2017,13,19
1082,10/26/2017,14,16
1083,10/26/2017,15,16
1084,10/26/2017,16,16
1085,10/26/2017,17,27
1086,10/26/2017,18,20
1087,10/26/2017,19,7
1088,10/26/2017,20,7
1089,10/26/2017,21,7
1090,10/26/2017,22,4
1091,10/26/2017,23,6
1092,10/27/2017,0,3
1093,10/27/2017,1,1
1094,10/27/2017,2,3
1095,10/27/2017,3,1
1096,10/27/2017,5,1
1097,10/27/2017,6,5
1098,10/27/2017,7,14
1099,10/27/2017,8,7
1100,10/27/2017,9,21
1101,10/27/2017,10,13
1102,10/27/2017,11,14
1103,10/27/2017,12,20
1104,10/27/2017,13,16
1105,10/27/2017,14,14
1106,10/27/2017,15,23
1107,10/27/2017,16,15
1108,10/27/2017,17,11
1109,10/27/2017,18,12
1110,10/27/2017,19,13
1111,10/27/2017,20,5
1112,10/27/2017,21,7
1113,10/27/2017,22,4
1114,10/27/2017,23,3
1115,10/28/2017,0,4
1116,10/28/2017,1,5
1117,10/28/2017,2,2
1118,10/28/2017,3,2
1119,10/28/2017,4,2
1120,10/28/2017,5,1
1121,10/28/2017,6,3
1122,10/28/2017,7,3
1123,10/28/2017,8,4
1124,10/28/2017,9,7
1125,10/28/2017,10,13
1126,10/28/2017,11,14
1127,10/28/2017,12,21
1128,10/28/2017,13,12
1129,10/28/2017,14,11
1130,10/28/2017,15,11
1131,10/28/2017,16,12
1132,10/28/2017,17,10
1133,10/28/2017,18,11
1134,10/28/2017,19,22
1135,10/28/2017,20,1
1136,10/28/2017,21,4
1137,10/28/2017,22,10
1138,10/28/2017,23,8
1139,10/29/2017,0,2
1140,10/29/2017,1,4
1141,10/29/2017,2,9
1142,10/29/2017,3,2
1143,10/29/2017,4,4
1144,10/29/2017,5,2
1145,10/29/2017,6,3
1146,10/29/2017,7,1
1147,10/29/2017,8,6
1148,10/29/2017,9,5
1149,10/29/2017,10,8
1150,10/29/2017,11,6
1151,10/29/2017,12,10
1152,10/29/2017,13,10
1153,10/29/2017,14,9
1154,10/29/2017,15,6
1155,10/29/2017,16,7
1156,10/29/2017,17,9
1157,10/29/2017,18,6
1158,10/29/2017,19,13
1159,10/29/2017,20,2
1160,10/29/2017,21,4
1161,10/29/2017,22,6
1162,10/29/2017,23,2
1163,10/3/2017,0,2
1164,10/3/2017,1,1
1165,10/3/2017,4,1
1166,10/3/2017,6,6
1167,10/3/2017,7,8
1168,10/3/2017,8,5
1169,10/3/2017,9,8
1170,10/3/2017,10,14
1171,10/3/2017,11,10
1172,10/3/2017,12,4
1173,10/3/2017,13,11
1174,10/3/2017,14,12
1175,10/3/2017,15,11
1176,10/3/2017,16,11
1177,10/3/2017,17,22
1178,10/3/2017,18,7
1179,10/3/2017,19,4
1180,10/3/2017,20,2
1181,10/3/2017,21,6
1182,10/3/2017,22,4
1183,10/3/2017,23,2
1184,10/30/2017,0,3
1185,10/30/2017,1,5
1186,10/30/2017,2,2
1187,10/30/2017,3,1
1188,10/30/2017,4,1
1189,10/30/2017,5,2
1190,10/30/2017,6,8
1191,10/30/2017,7,17
1192,10/30/2017,8,20
1193,10/30/2017,9,7
1194,10/30/2017,10,10
1195,10/30/2017,11,16
1196,10/30/2017,12,17
1197,10/30/2017,13,16
1198,10/30/2017,14,7
1199,10/30/2017,15,23
1200,10/30/2017,16,20
1201,10/30/2017,17,20
1202,10/30/2017,18,11
1203,10/30/2017,19,9
1204,10/30/2017,20,9
1205,10/30/2017,21,6
1206,10/30/2017,22,2
1207,10/30/2017,23,5
1208,10/31/2017,0,1
1209,10/31/2017,1,2
1210,10/31/2017,2,5
1211,10/31/2017,3,2
1212,10/31/2017,4,2
1213,10/31/2017,5,2
1214,10/31/2017,6,14
1215,10/31/2017,7,16
1216,10/31/2017,8,19
1217,10/31/2017,9,14
1218,10/31/2017,10,5
1219,10/31/2017,11,9
1220,10/31/2017,12,11
1221,10/31/2017,13,17
1222,10/31/2017,14,15
1223,10/31/2017,15,12
1224,10/31/2017,16,25
1225,10/31/2017,17,31
1226,10/31/2017,18,19
1227,10/31/2017,19,15
1228,10/31/2017,20,13
1229,10/31/2017,21,12
1230,10/31/2017,22,9
1231,10/31/2017,23,4
1232,10/4/2017,0,3
1233,10/4/2017,3,2
1234,10/4/2017,4,1
1235,10/4/2017,5,2
1236,10/4/2017,6,1
1237,10/4/2017,7,7
1238,10/4/2017,8,5
1239,10/4/2017,9,5
1240,10/4/2017,10,4
1241,10/4/2017,11,3
1242,10/4/2017,12,5
1243,10/4/2017,13,1
1244,10/4/2017,14,3
1245,10/4/2017,15,2
1246,10/4/2017,16,3
1247,10/4/2017,17,10
1248,10/4/2017,18,6
1249,10/4/2017,19,2
1250,10/4/2017,20,3
1251,10/4/2017,21,6
1252,10/4/2017,22,2
1253,10/4/2017,23,3
1254,10/5/2017,4,1
1255,10/5/2017,6,2
1256,10/5/2017,7,2
1257,10/5/2017,8,2
1258,10/5/2017,9,3
1259,10/5/2017,10,4
1260,10/5/2017,11,1
1261,10/5/2017,12,3
1262,10/5/2017,13,6
1263,10/5/2017,14,2
1264,10/5/2017,15,3
1265,10/5/2017,16,6
1266,10/5/2017,17,5
1267,10/5/2017,18,3
1268,10/5/2017,19,8
1269,10/5/2017,20,3
1270,10/5/2017,21,4
1271,10/5/2017,22,2
1272,10/5/2017,23,2
1273,10/6/2017,0,2
1274,10/6/2017,2,2
1275,10/6/2017,4,1
1276,10/6/2017,6,2
1277,10/6/2017,7,3
1278,10/6/2017,8,6
1279,10/6/2017,9,11
1280,10/6/2017,12,2
1281,10/6/2017,13,1
1282,10/6/2017,14,5
1283,10/6/2017,15,8
1284,10/6/2017,16,5
1285,10/6/2017,17,7
1286,10/6/2017,18,3
1287,10/6/2017,19,8
1288,10/6/2017,20,2
1289,10/6/2017,21,6
1290,10/6/2017,22,6
1291,10/6/2017,23,9
1292,10/7/2017,1,2
1293,10/7/2017,2,3
1294,10/7/2017,6,2
1295,10/7/2017,7,1
1296,10/7/2017,9,1
1297,10/7/2017,10,1
1298,10/7/2017,11,3
1299,10/7/2017,12,3
1300,10/7/2017,13,5
1301,10/7/2017,14,4
1302,10/7/2017,15,3
1303,10/7/2017,16,5
1304,10/7/2017,20,3
1305,10/7/2017,21,3
1306,10/7/2017,22,1
1307,10/7/2017,23,5
1308,10/8/2017,0,4
1309,10/8/2017,1,2
1310,10/8/2017,2,1
1311,10/8/2017,3,1
1312,10/8/2017,4,1
1313,10/8/2017,6,1
1314,10/8/2017,15,4
1315,10/8/2017,17,1
1316,10/8/2017,18,1
1317,10/8/2017,19,4
1318,10/8/2017,20,5
1319,10/8/2017,21,3
1320,10/8/2017,22,2
1321,10/8/2017,23,3
1322,10/9/2017,2,3
1323,10/9/2017,3,2
1324,10/9/2017,6,2
1325,10/9/2017,7,1
1326,10/9/2017,10,5
1327,10/9/2017,11,2
1328,10/9/2017,12,3
1329,10/9/2017,13,6
1330,10/9/2017,14,2
1331,10/9/2017,15,1
1332,10/9/2017,16,4
1333,10/9/2017,17,7
1334,10/9/2017,18,2
1335,10/9/2017,19,6
1336,10/9/2017,20,3
1337,10/9/2017,21,3
1338,10/9/2017,22,2
1339,10/9/2017,23,4
1340,11/1/2017,0,1
1341,11/1/2017,1,8
1342,11/1/2017,2,3
1343,11/1/2017,3,3
1344,11/1/2017,6,13
1345,11/1/2017,7,11
1346,11/1/2017,8,20
1347,11/1/2017,9,16
1348,11/1/2017,10,5
1349,11/1/2017,11,12
1350,11/1/2017,12,14
1351,11/1/2017,13,10
1352,11/1/2017,14,9
1353,11/1/2017,15,14
1354,11/1/2017,16,21
1355,11/1/2017,17,19
1356,11/1/2017,18,8
1357,11/1/2017,19,19
1358,11/1/2017,20,13
1359,11/1/2017,21,6
1360,11/1/2017,22,6
1361,11/1/2017,23,1
1362,11/10/2017,1,4
1363,11/10/2017,2,2
1364,11/10/2017,3,3
1365,11/10/2017,4,1
1366,11/10/2017,5,6
1367,11/10/2017,6,8
1368,11/10/2017,7,16
1369,11/10/2017,8,13
1370,11/10/2017,9,11
1371,11/10/2017,10,7
1372,11/10/2017,11,10
1373,11/10/2017,12,18
1374,11/10/2017,13,6
1375,11/10/2017,14,11
1376,11/10/2017,15,8
1377,11/10/2017,16,12
1378,11/10/2017,17,16
1379,11/10/2017,18,15
1380,11/10/2017,19,11
1381,11/10/2017,20,10
1382,11/10/2017,21,6
1383,11/10/2017,22,3
1384,11/10/2017,23,5
1385,11/11/2017,0,4
1386,11/11/2017,1,3
1387,11/11/2017,2,2
1388,11/11/2017,3,4
1389,11/11/2017,4,2
1390,11/11/2017,5,1
1391,11/11/2017,6,10
1392,11/11/2017,7,3
1393,11/11/2017,8,7
1394,11/11/2017,9,16
1395,11/11/2017,10,13
1396,11/11/2017,11,9
1397,11/11/2017,12,8
1398,11/11/2017,13,13
1399,11/11/2017,14,8
1400,11/11/2017,15,10
1401,11/11/2017,16,8
1402,11/11/2017,17,9
1403,11/11/2017,18,16
1404,11/11/2017,19,6
1405,11/11/2017,20,8
1406,11/11/2017,21,8
1407,11/11/2017,22,8
1408,11/11/2017,23,10
1409,11/12/2017,0,5
1410,11/12/2017,1,4
1411,11/12/2017,2,11
1412,11/12/2017,3,4
1413,11/12/2017,4,5
1414,11/12/2017,5,2
1415,11/12/2017,6,2
1416,11/12/2017,7,6
1417,11/12/2017,8,4
1418,11/12/2017,9,8
1419,11/12/2017,10,7
1420,11/12/2017,11,10
1421,11/12/2017,12,8
1422,11/12/2017,13,9
1423,11/12/2017,14,17
1424,11/12/2017,15,7
1425,11/12/2017,16,7
1426,11/12/2017,17,12
1427,11/12/2017,18,11
1428,11/12/2017,19,6
1429,11/12/2017,20,6
1430,11/12/2017,21,5
1431,11/12/2017,22,6
1432,11/12/2017,23,2
1433,11/13/2017,0,1
1434,11/13/2017,1,4
1435,11/13/2017,2,2
1436,11/13/2017,4,2
1437,11/13/2017,5,3
1438,11/13/2017,6,7
1439,11/13/2017,7,9
1440,11/13/2017,8,15
1441,11/13/2017,9,10
1442,11/13/2017,10,17
1443,11/13/2017,11,8
1444,11/13/2017,12,14
1445,11/13/2017,13,14
1446,11/13/2017,14,9
1447,11/13/2017,15,11
1448,11/13/2017,16,6
1449,11/13/2017,17,14
1450,11/13/2017,18,22
1451,11/13/2017,19,7
1452,11/13/2017,20,5
1453,11/13/2017,21,5
1454,11/13/2017,22,1
1455,11/13/2017,23,1
1456,11/14/2017,0,1
1457,11/14/2017,1,5
1458,11/14/2017,3,2
1459,11/14/2017,4,1
1460,11/14/2017,5,1
1461,11/14/2017,6,12
1462,11/14/2017,7,22
1463,11/14/2017,8,13
1464,11/14/2017,9,10
1465,11/14/2017,10,5
1466,11/14/2017,11,16
1467,11/14/2017,12,9
1468,11/14/2017,13,15
1469,11/14/2017,14,12
1470,11/14/2017,15,13
1471,11/14/2017,16,15
1472,11/14/2017,17,12
1473,11/14/2017,18,24
1474,11/14/2017,19,9
1475,11/14/2017,20,8
1476,11/14/2017,21,3
1477,11/14/2017,22,4
1478,11/14/2017,23,1
1479,11/15/2017,1,1
1480,11/15/2017,3,3
1481,11/15/2017,5,6
1482,11/15/2017,6,5
1483,11/15/2017,7,19
1484,11/15/2017,8,9
1485,11/15/2017,9,15
1486,11/15/2017,10,12
1487,11/15/2017,11,9
1488,11/15/2017,12,13
1489,11/15/2017,13,16
1490,11/15/2017,14,13
1491,11/15/2017,15,11
1492,11/15/2017,16,13
1493,11/15/2017,17,17
1494,11/15/2017,18,23
1495,11/15/2017,19,7
1496,11/15/2017,20,10
1497,11/15/2017,21,5
1498,11/15/2017,22,1
1499,11/15/2017,23,2
1500,11/16/2017,0,4
1501,11/16/2017,1,1
1502,11/16/2017,2,3
1503,11/16/2017,5,5
1504,11/16/2017,6,7
1505,11/16/2017,7,13
1506,11/16/2017,8,12
1507,11/16/2017,9,12
1508,11/16/2017,10,12
1509,11/16/2017,11,8
1510,11/16/2017,12,8
1511,11/16/2017,13,14
1512,11/16/2017,14,10
1513,11/16/2017,15,13
1514,11/16/2017,16,9
1515,11/16/2017,17,28
1516,11/16/2017,18,20
1517,11/16/2017,19,13
1518,11/16/2017,20,4
1519,11/16/2017,21,5
1520,11/16/2017,22,4
1521,11/16/2017,23,3
1522,11/17/2017,0,1
1523,11/17/2017,1,5
1524,11/17/2017,2,2
1525,11/17/2017,4,1
1526,11/17/2017,5,3
1527,11/17/2017,6,3
1528,11/17/2017,7,17
1529,11/17/2017,8,15
1530,11/17/2017,9,11
1531,11/17/2017,10,9
1532,11/17/2017,11,10
1533,11/17/2017,12,12
1534,11/17/2017,13,16
1535,11/17/2017,14,20
1536,11/17/2017,15,13
1537,11/17/2017,16,11
1538,11/17/2017,17,12
1539,11/17/2017,18,25
1540,11/17/2017,19,11
1541,11/17/2017,20,13
1542,11/17/2017,21,4
1543,11/17/2017,22,5
1544,11/17/2017,23,11
1545,11/18/2017,0,2
1546,11/18/2017,1,1
1547,11/18/2017,2,3
1548,11/18/2017,3,3
1549,11/18/2017,4,2
1550,11/18/2017,5,1
1551,11/18/2017,6,3
1552,11/18/2017,7,5
1553,11/18/2017,8,8
1554,11/18/2017,9,10
1555,11/18/2017,10,16
1556,11/18/2017,11,8
1557,11/18/2017,12,17
1558,11/18/2017,13,19
1559,11/18/2017,14,16
1560,11/18/2017,15,20
1561,11/18/2017,16,14
1562,11/18/2017,17,9
1563,11/18/2017,18,10
1564,11/18/2017,19,4
1565,11/18/2017,20,8
1566,11/18/2017,21,5
1567,11/18/2017,22,6
1568,11/18/2017,23,8
1569,11/19/2017,0,9
1570,11/19/2017,1,3
1571,11/19/2017,2,4
1572,11/19/2017,3,3
1573,11/19/2017,4,1
1574,11/19/2017,6,3
1575,11/19/2017,7,4
1576,11/19/2017,8,4
1577,11/19/2017,9,5
1578,11/19/2017,10,7
1579,11/19/2017,11,7
1580,11/19/2017,12,11
1581,11/19/2017,13,8
1582,11/19/2017,14,8
1583,11/19/2017,15,10
1584,11/19/2017,16,10
1585,11/19/2017,17,13
1586,11/19/2017,18,14
1587,11/19/2017,19,9
1588,11/19/2017,20,3
1589,11/19/2017,21,6
1590,11/19/2017,22,1
1591,11/19/2017,23,4
1592,11/2/2017,0,4
1593,11/2/2017,1,2
1594,11/2/2017,3,3
1595,11/2/2017,4,2
1596,11/2/2017,5,1
1597,11/2/2017,6,8
1598,11/2/2017,7,24
1599,11/2/2017,8,21
1600,11/2/2017,9,12
1601,11/2/2017,10,14
1602,11/2/2017,11,9
1603,11/2/2017,12,15
1604,11/2/2017,13,15
1605,11/2/2017,14,14
1606,11/2/2017,15,23
1607,11/2/2017,16,26
1608,11/2/2017,17,20
1609,11/2/2017,18,13
1610,11/2/2017,19,10
1611,11/2/2017,20,9
1612,11/2/2017,21,1
1613,11/2/2017,22,5
1614,11/2/2017,23,4
1615,11/20/2017,0,2
1616,11/20/2017,1,1
1617,11/20/2017,2,2
1618,11/20/2017,4,3
1619,11/20/2017,5,5
1620,11/20/2017,6,12
1621,11/20/2017,7,12
1622,11/20/2017,8,11
1623,11/20/2017,9,16
1624,11/20/2017,10,6
1625,11/20/2017,11,12
1626,11/20/2017,12,11
1627,11/20/2017,13,15
1628,11/20/2017,14,16
1629,11/20/2017,15,7
1630,11/20/2017,16,6
1631,11/20/2017,17,10
1632,11/20/2017,18,18
1633,11/20/2017,19,7
1634,11/20/2017,20,9
1635,11/20/2017,21,3
1636,11/20/2017,22,1
1637,11/20/2017,23,3
1638,11/21/2017,0,3
1639,11/21/2017,2,4
1640,11/21/2017,3,1
1641,11/21/2017,5,2
1642,11/21/2017,6,5
1643,11/21/2017,7,7
1644,11/21/2017,8,6
1645,11/21/2017,9,7
1646,11/21/2017,10,12
1647,11/21/2017,11,20
1648,11/21/2017,12,15
1649,11/21/2017,13,8
1650,11/21/2017,14,10
1651,11/21/2017,15,19
1652,11/21/2017,16,24
1653,11/21/2017,17,12
1654,11/21/2017,18,22
1655,11/21/2017,19,11
1656,11/21/2017,20,7
1657,11/21/2017,21,11
1658,11/21/2017,22,6
1659,11/22/2017,0,4
1660,11/22/2017,1,2
1661,11/22/2017,2,3
1662,11/22/2017,3,1
1663,11/22/2017,5,2
1664,11/22/2017,6,2
1665,11/22/2017,7,4
1666,11/22/2017,8,12
1667,11/22/2017,9,16
1668,11/22/2017,10,11
1669,11/22/2017,11,16
1670,11/22/2017,12,25
1671,11/22/2017,13,16
1672,11/22/2017,14,17
1673,11/22/2017,15,12
1674,11/22/2017,16,14
1675,11/22/2017,17,12
1676,11/22/2017,18,13
1677,11/22/2017,19,6
1678,11/22/2017,20,6
1679,11/22/2017,21,8
1680,11/22/2017,22,7
1681,11/22/2017,23,5
1682,11/23/2017,0,4
1683,11/23/2017,1,3
1684,11/23/2017,2,4
1685,11/23/2017,3,1
1686,11/23/2017,4,1
1687,11/23/2017,7,2
1688,11/23/2017,8,5
1689,11/23/2017,9,4
1690,11/23/2017,10,5
1691,11/23/2017,11,5
1692,11/23/2017,12,6
1693,11/23/2017,13,10
1694,11/23/2017,14,3
1695,11/23/2017,15,3
1696,11/23/2017,16,4
1697,11/23/2017,17,2
1698,11/23/2017,18,8
1699,11/23/2017,19,9
1700,11/23/2017,20,4
1701,11/23/2017,21,2
1702,11/23/2017,22,3
1703,11/23/2017,23,1
1704,11/24/2017,0,2
1705,11/24/2017,1,1
1706,11/24/2017,4,2
1707,11/24/2017,5,2
1708,11/24/2017,6,3
1709,11/24/2017,7,8
1710,11/24/2017,8,4
1711,11/24/2017,9,6
1712,11/24/2017,10,6
1713,11/24/2017,11,5
1714,11/24/2017,12,11
1715,11/24/2017,13,20
1716,11/24/2017,14,10
1717,11/24/2017,15,7
1718,11/24/2017,16,10
1719,11/24/2017,17,14
1720,11/24/2017,18,14
1721,11/24/2017,19,10
1722,11/24/2017,20,11
1723,11/24/2017,21,6
1724,11/24/2017,22,8
1725,11/24/2017,23,6
1726,11/25/2017,0,1
1727,11/25/2017,1,4
1728,11/25/2017,2,3
1729,11/25/2017,3,2
1730,11/25/2017,4,2
1731,11/25/2017,6,1
1732,11/25/2017,7,5
1733,11/25/2017,8,2
1734,11/25/2017,9,3
1735,11/25/2017,10,9
1736,11/25/2017,11,5
1737,11/25/2017,12,2
1738,11/25/2017,13,10
1739,11/25/2017,14,10
1740,11/25/2017,15,8
1741,11/25/2017,16,6
1742,11/25/2017,17,4
1743,11/25/2017,18,15
1744,11/25/2017,19,2
1745,11/25/2017,20,6
1746,11/25/2017,21,10
1747,11/25/2017,22,5
1748,11/25/2017,23,4
1749,11/26/2017,0,4
1750,11/26/2017,1,6
1751,11/26/2017,2,4
1752,11/26/2017,3,1
1753,11/26/2017,4,2
1754,11/26/2017,5,4
1755,11/26/2017,6,3
1756,11/26/2017,7,1
1757,11/26/2017,8,3
1758,11/26/2017,9,4
1759,11/26/2017,10,9
1760,11/26/2017,11,1
1761,11/26/2017,12,8
1762,11/26/2017,13,11
1763,11/26/2017,14,10
1764,11/26/2017,15,5
1765,11/26/2017,16,8
1766,11/26/2017,17,8
1767,11/26/2017,18,4
1768,11/26/2017,19,6
1769,11/26/2017,20,5
1770,11/26/2017,21,5
1771,11/26/2017,22,6
1772,11/26/2017,23,4
1773,11/27/2017,1,2
1774,11/27/2017,2,1
1775,11/27/2017,3,2
1776,11/27/2017,4,3
1777,11/27/2017,6,2
1778,11/27/2017,7,14
1779,11/27/2017,8,10
1780,11/27/2017,9,3
1781,11/27/2017,10,8
1782,11/27/2017,11,15
1783,11/27/2017,12,14
1784,11/27/2017,13,11
1785,11/27/2017,14,14
1786,11/27/2017,15,15
1787,11/27/2017,16,23
1788,11/27/2017,17,14
1789,11/27/2017,18,13
1790,11/27/2017,19,7
1791,11/27/2017,20,9
1792,11/27/2017,21,10
1793,11/27/2017,22,5
1794,11/27/2017,23,2
1795,11/28/2017,0,4
1796,11/28/2017,1,2
1797,11/28/2017,2,1
1798,11/28/2017,5,7
1799,11/28/2017,6,10
1800,11/28/2017,7,9
1801,11/28/2017,8,18
1802,11/28/2017,9,5
1803,11/28/2017,10,18
1804,11/28/2017,11,13
1805,11/28/2017,12,8
1806,11/28/2017,13,19
1807,11/28/2017,14,14
1808,11/28/2017,15,19
1809,11/28/2017,16,24
1810,11/28/2017,17,32
1811,11/28/2017,18,17
1812,11/28/2017,19,11
1813,11/28/2017,20,3
1814,11/28/2017,21,5
1815,11/28/2017,22,7
1816,11/28/2017,23,1
1817,11/29/2017,0,5
1818,11/29/2017,1,1
1819,11/29/2017,2,4
1820,11/29/2017,3,4
1821,11/29/2017,4,1
1822,11/29/2017,5,2
1823,11/29/2017,6,5
1824,11/29/2017,7,16
1825,11/29/2017,8,19
1826,11/29/2017,9,12
1827,11/29/2017,10,9
1828,11/29/2017,11,13
1829,11/29/2017,12,12
1830,11/29/2017,13,8
1831,11/29/2017,14,10
1832,11/29/2017,15,27
1833,11/29/2017,16,18
1834,11/29/2017,17,24
1835,11/29/2017,18,15
1836,11/29/2017,19,14
1837,11/29/2017,20,7
1838,11/29/2017,21,2
1839,11/29/2017,22,2
1840,11/29/2017,23,9
1841,11/3/2017,0,4
1842,11/3/2017,1,2
1843,11/3/2017,2,4
1844,11/3/2017,3,1
1845,11/3/2017,6,9
1846,11/3/2017,7,18
1847,11/3/2017,8,6
1848,11/3/2017,9,13
1849,11/3/2017,10,9
1850,11/3/2017,11,11
1851,11/3/2017,12,12
1852,11/3/2017,13,11
1853,11/3/2017,14,11
1854,11/3/2017,15,19
1855,11/3/2017,16,21
1856,11/3/2017,17,19
1857,11/3/2017,18,15
1858,11/3/2017,19,11
1859,11/3/2017,20,11
1860,11/3/2017,21,3
1861,11/3/2017,22,4
1862,11/3/2017,23,7
1863,11/30/2017,0,7
1864,11/30/2017,1,1
1865,11/30/2017,2,2
1866,11/30/2017,3,4
1867,11/30/2017,4,2
1868,11/30/2017,5,1
1869,11/30/2017,6,7
1870,11/30/2017,7,13
1871,11/30/2017,8,13
1872,11/30/2017,9,9
1873,11/30/2017,10,15
1874,11/30/2017,11,9
1875,11/30/2017,12,12
1876,11/30/2017,13,7
1877,11/30/2017,14,9
1878,11/30/2017,15,18
1879,11/30/2017,16,22
1880,11/30/2017,17,16
1881,11/30/2017,18,16
1882,11/30/2017,19,13
1883,11/30/2017,20,8
1884,11/30/2017,21,1
1885,11/30/2017,22,7
1886,11/30/2017,23,6
1887,11/4/2017,0,3
1888,11/4/2017,1,2
1889,11/4/2017,2,7
1890,11/4/2017,3,2
1891,11/4/2017,4,1
1892,11/4/2017,5,5
1893,11/4/2017,6,1
1894,11/4/2017,7,5
1895,11/4/2017,8,8
1896,11/4/2017,9,6
1897,11/4/2017,10,6
1898,11/4/2017,11,17
1899,11/4/2017,12,14
1900,11/4/2017,13,13
1901,11/4/2017,14,6
1902,11/4/2017,15,10
1903,11/4/2017,16,12
1904,11/4/2017,17,14
1905,11/4/2017,18,10
1906,11/4/2017,19,10
1907,11/4/2017,20,3
1908,11/4/2017,21,10
1909,11/4/2017,22,6
1910,11/4/2017,23,4
1911,11/5/2017,0,3
1912,11/5/2017,1,6
1913,11/5/2017,2,3
1914,11/5/2017,3,6
1915,11/5/2017,5,5
1916,11/5/2017,6,6
1917,11/5/2017,7,2
1918,11/5/2017,8,5
1919,11/5/2017,9,10
1920,11/5/2017,10,7
1921,11/5/2017,11,7
1922,11/5/2017,12,12
1923,11/5/2017,13,14
1924,11/5/2017,14,11
1925,11/5/2017,15,11
1926,11/5/2017,16,11
1927,11/5/2017,17,4
1928,11/5/2017,18,13
1929,11/5/2017,19,9
1930,11/5/2017,20,6
1931,11/5/2017,21,5
1932,11/5/2017,22,8
1933,11/5/2017,23,2
1934,11/6/2017,0,3
1935,11/6/2017,1,3
1936,11/6/2017,2,1
1937,11/6/2017,3,2
1938,11/6/2017,4,4
1939,11/6/2017,5,5
1940,11/6/2017,6,4
1941,11/6/2017,7,12
1942,11/6/2017,8,12
1943,11/6/2017,9,9
1944,11/6/2017,10,10
1945,11/6/2017,11,4
1946,11/6/2017,12,13
1947,11/6/2017,13,17
1948,11/6/2017,14,13
1949,11/6/2017,15,10
1950,11/6/2017,16,15
1951,11/6/2017,17,25
1952,11/6/2017,18,16
1953,11/6/2017,19,6
1954,11/6/2017,20,4
1955,11/6/2017,21,5
1956,11/6/2017,22,2
1957,11/6/2017,23,4
1958,11/7/2017,0,1
1959,11/7/2017,2,5
1960,11/7/2017,4,4
1961,11/7/2017,5,1
1962,11/7/2017,6,6
1963,11/7/2017,7,18
1964,11/7/2017,8,14
1965,11/7/2017,9,13
1966,11/7/2017,10,13
1967,11/7/2017,11,10
1968,11/7/2017,12,13
1969,11/7/2017,13,12
1970,11/7/2017,14,15
1971,11/7/2017,15,8
1972,11/7/2017,16,11
1973,11/7/2017,17,9
1974,11/7/2017,18,26
1975,11/7/2017,19,7
1976,11/7/2017,20,15
1977,11/7/2017,21,6
1978,11/7/2017,22,1
1979,11/8/2017,0,1
1980,11/8/2017,1,2
1981,11/8/2017,2,1
1982,11/8/2017,3,3
1983,11/8/2017,5,2
1984,11/8/2017,6,6
1985,11/8/2017,7,14
1986,11/8/2017,8,24
1987,11/8/2017,9,16
1988,11/8/2017,10,9
1989,11/8/2017,11,13
1990,11/8/2017,12,16
1991,11/8/2017,13,18
1992,11/8/2017,14,14
1993,11/8/2017,15,14
1994,11/8/2017,16,20
1995,11/8/2017,17,31
1996,11/8/2017,18,29
1997,11/8/2017,19,12
1998,11/8/2017,20,6
1999,11/8/2017,21,5
2000,11/8/2017,22,6
2001,11/8/2017,23,3
2002,11/9/2017,0,3
2003,11/9/2017,1,2
2004,11/9/2017,2,2
2005,11/9/2017,3,1
2006,11/9/2017,5,1
2007,11/9/2017,6,8
2008,11/9/2017,7,19
2009,11/9/2017,8,18
2010,11/9/2017,9,8
2011,11/9/2017,10,7
2012,11/9/2017,11,8
2013,11/9/2017,12,12
2014,11/9/2017,13,12
2015,11/9/2017,14,8
2016,11/9/2017,15,10
2017,11/9/2017,16,16
2018,11/9/2017,17,20
2019,11/9/2017,18,22
2020,11/9/2017,19,12
2021,11/9/2017,20,7
2022,11/9/2017,21,5
2023,11/9/2017,22,6
2024,12/1/2017,0,2
2025,12/1/2017,1,3
2026,12/1/2017,2,2
2027,12/1/2017,3,1
2028,12/1/2017,4,1
2029,12/1/2017,5,2
2030,12/1/2017,6,5
2031,12/1/2017,7,16
2032,12/1/2017,8,12
2033,12/1/2017,9,18
2034,12/1/2017,10,15
2035,12/1/2017,11,20
2036,12/1/2017,12,16
2037,12/1/2017,13,11
2038,12/1/2017,14,13
2039,12/1/2017,15,16
2040,12/1/2017,16,17
2041,12/1/2017,17,18
2042,12/1/2017,18,22
2043,12/1/2017,19,10
2044,12/1/2017,20,10
2045,12/1/2017,21,7
2046,12/1/2017,22,4
2047,12/1/2017,23,4
2048,12/10/2017,0,10
2049,12/10/2017,1,3
2050,12/10/2017,2,2
2051,12/10/2017,4,3
2052,12/10/2017,5,2
2053,12/10/2017,6,5
2054,12/10/2017,7,1
2055,12/10/2017,8,5
2056,12/10/2017,9,5
2057,12/10/2017,10,2
2058,12/10/2017,11,6
2059,12/10/2017,12,12
2060,12/10/2017,13,8
