,curdatetime,day,day_of_week,detid,detname,direction,hour,int_id,intname,minute,month,occupancy,row_id,speed,timebin,volume,year
755,2017-11-13T00:00:01.000,13,1,84,SB_in,SB,0,22,LAMARCOLLIER,0,11,2,003d081b77ebdac6614221f7836e61e1,37,00:00,47,2017
756,2017-10-25T19:30:00.000,25,3,43,NB,NB,19,14,Robert E LeeBarton Springs,30,10,7,003d26e3dd0aed649c6ff7109ceaabd4,20,19:30,69,2017
757,2017-09-12T11:30:00.000,12,2,53,SB_in,SB,11,17,CongressJohanna,30,9,4,003d61bf50bc6b7de5b6b93b2db70894,31,11:30,79,2017
758,2017-10-28T21:00:01.000,28,6,3,SB_in,SB,21,1,LAMARMANCHACA,0,10,6,003d65c35b92ca26101ec75a9b82d79d,32,21:00,95,2017
759,2017-09-12T21:15:00.000,12,2,57,SB_mid,SB,21,8,LOOP 360WALSH TARLTON,15,9,2,003d6b26acc8d17951c6b05faee08020,56,21:15,74,2017
760,2017-12-01T02:00:01.000,1,5,47,WB_out,WB,2,15,Cesar ChavezBR Reynolds,0,12,0,003d8b1d17d5b1159f89b6794453777e,43,02:00,24,2017
761,2017-09-23T04:00:01.000,23,6,85,NB_in,NB,4,22,LAMARCOLLIER,0,9,0,003d9ba58b4c68b3717f2526ef2f6ba4,39,04:00,12,2017
762,2017-10-28T03:45:00.000,28,6,58,SB_in,SB,3,8,LOOP 360WALSH TARLTON,45,10,0,003dd30af7914b0997c01bd80219a2f6,72,03:45,1,2017
763,2017-11-27T03:00:01.000,27,1,98,NB_out,NB,3,4,CONGRESSBARTON SPRINGS,0,11,0,003de73e5e65f03746d30e94ad001042,29,03:00,1,2017
764,2017-09-30T15:45:00.000,30,6,11,SB_in,SB,15,3,LAMARSHOALCREEK,45,9,8,003def1ae4fe8a656b9974e11980f51a,30,15:45,162,2017
765,2017-10-17T02:15:00.000,17,2,83,SB_out,SB,2,22,LAMARCOLLIER,15,10,0,003e1cd49593113a9f082f9c8c8dd239,35,02:15,13,2017
766,2017-10-16T08:45:00.000,16,1,13,NB_out,NB,8,3,LAMARSHOALCREEK,45,10,3,003e29de54072177c25868fa7bbb5be6,27,08:45,59,2017
767,2017-11-20T17:15:00.000,20,1,78,WB_out,WB,17,20,CESAR CHAVEZIH 35 WSR,15,11,1,003e366647a563f08a1a14efb5cea87a,27,17:15,30,2017
768,2017-09-05T08:15:00.000,5,2,14,SB_out,SB,8,4,CONGRESSBARTON SPRINGS,15,9,2,003e44f9b5c07c8b9542c855dda46561,35,08:15,47,2017
769,2017-12-13T19:45:00.000,13,3,42,SB,SB,19,14,Robert E LeeBarton Springs,45,12,10,003e46714e08c7b100cc562c7be6c0b2,20,19:45,117,2017
770,2017-10-30T13:00:00.000,30,1,16,SB_in,SB,13,4,CONGRESSBARTON SPRINGS,0,10,6,003ea13ee7f32d14b6a6579c3faa7589,30,13:00,62,2017
771,2017-07-24T18:45:00.000,24,1,31,Lane2,None,18,10,LamarBroken Spoke,45,7,13,003ea3df13481dd81a865ff1676dafdd,32,18:45,206,2017
772,2017-09-03T11:45:00.000,3,0,94,SB_Lturn,SB,11,24,LOOP 360LAKEWOOD,45,9,4,003eaa001934ea38b05c3e62e1157564,52,11:45,114,2017
773,2017-10-16T18:30:00.000,16,1,15,SB_mid,SB,18,4,CONGRESSBARTON SPRINGS,30,10,35,003eab99bf37e307ae215069460fb4ed,13,18:30,131,2017
774,2017-10-16T01:15:00.000,16,1,57,SB_mid,SB,1,8,LOOP 360WALSH TARLTON,15,10,0,003eabb3ba09e2d8057df2a6be291d27,63,01:15,7,2017
775,2017-12-14T04:15:00.000,14,4,97,SB_Rturn,SB,4,24,LOOP 360LAKEWOOD,15,12,0,003eb330cb67182293e054d5f73747bb,149,04:15,0,2017
776,2017-11-22T07:45:00.000,22,3,70,SB_Lturn,SB,7,11,BurnetRutland,45,11,6,003eb8dbd60a71490e2d9f09c7937ab2,13,07:45,25,2017
